Comment_Text,Perspective_Score,Regex_Status,Personal,Racial,Swearing
Hello so after our announcement stating the rules about posting issues on GitHub This announcement doesn t seem to be getting to peoples heads so we are going to make it so clear about what to post and not what to post If you post a stupid issue it will be closed n nMost asked questions n n I have an error in my console n nThis is most likely to be your fault due to a conflicting plugin We do not I repeat DO NOT upload a build of BlockHunt if it has an error in the console so if you do get an error then it is YOUR FAULT n nSo how do you fix it Well firstly try and remove ALL of your BlockHunt files Between builds we update what goes in and out of the config files so this means you will get an error in the console if you do not delete your BlockHunt files between updates This may seem like a horrible task to do but people ask for new things to be added to the plugin so we add them in thus there are consequences to servers n nIf the error contains any words from any other plugins then it is a conflicting plugin Do not post an issue about this or else it will be closed n nNow if the error is an legit error that has occurred and you re sure that it isn t a conflicting plugin then post it as soon as n n n n Signs don t work n nThen install the god damn plugins needed to run the plugin n n n n Players cannot hurt each other n nCheck every single PvP setting that you can see I mean every single setting We test BlockHunt to make sure that players can hit each other DO NOT post an issue about PvP as it will be closed n n n n BRING DISGUISECRAFT BACK n nNo n n n n I can t see the piston heads in the settings menu n nGet the latest build of BlockHunt then n n n n I can t find the BlockHunt download link n nThis issue is a pretty big one because of Bukkits rules We cannot post Dev builds of BlockHunt at all However you can get Dev builds through here blockhunt comxa com n n n n Seekers spawn early n nThey don t you need to block off their spawn The hiders spawn and have a chance to run away then the seekers will spawn in the hiders spawn to find them get it now n n n n Spigot crashes n nWe DO NOT support Spigot n n n n MCPC crashes n nOh my gaw We DO NOT support MCPC n n n n Permissions don t work n nUse a permissions manager then n n n nSo do as we say or else your issue will be closed n n So how do I get the Dev s of BlockHunt to solve my issue n nEasy we are always looking for new bugs to fix and new features to add to this great plugin however we are normally dealing with the stupid people who decide to post complete rubbish for an issue n nIf you want to get your issue sorted out then follow this to do list n n Update to the latest Dev build see if this fixes your error n Check no plugins are conflicting n Check all of your pvp settings n nIf you have tried this and it doesn t work then make an issue following these guidelines n nhttp postimg org image ow rvkl n n n Add your CraftBukkit Version n Add your BlockHunt version n Add a description of the issue including steps to reproduce the issue THE ISSUE MUST BE IN FLUENT ENGLISH n Add pictures if you can n Add the correct tag n nThank you for your co operation n nSteffion RandomPanda n,0.7246556,1,1,0,0
 r nso due to how I did it FL has this already cuz any gem can run any ability or ability component effects And console and sudo commands are effects and I was wondering how if at all possible could versatility be put into MD r nI do it via strings like an idiot r nbut r nwhat about a MD API thing or even just an event r nwhere you config a gem to throw a gem event r nand the gem has a key just a string thats what you config r nthe event has attacker victim and key r nand plugins can listen for key and do logic r n ,0.7093121,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n r n r n r n FFXI Client Version r n use ver to see your version r n r n r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION r nyes r n r n r n Character Name r nn a r n r n r n Nation r nn a r n r n r n Job level Sub Job level r nn a r n r n r n NPC or Monster or item Name r nEvery Mythic weapon and every Empy weapon r n r n r n Zone name r nRu lude gardens r n r n r n Coordinates use where r nn a r n r n r n ffxiah com link for items issues only r n r n r n r n Multi boxing multiple clients on same connection r nn a r n r n r n Steps To Reproduce any other info r nOn retail you cannot obtain any version of a Relic Mythic Empy weapon if you already have that same weapon it will ask you to drop the other version before obtaining the new one r n r n Sorry but at least with Empy weapons you just can t r n r n I did all the trials to make a second Kannagi first is lvl And all went well till I finished the Briaeus helms trial moogle let me start the trial But the moment I went to trade helms the trial was done and gave the katana to the moogle it told me that I must drop my existing Kannagi to make the new one Since Kannagi has a rare tag and it seems that doesn t matter the item level The name of the item is bounded to the rare tag At least on empys And I m not crazy enough to make a second Kikoku r n r nhttp forum square enix com ffxi threads Command to hide the visual effect of Afterglow Weapons r n r n ,0.7000167,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n r n r n r n FFXI Client Version r n use ver to see your version r n r n r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION r n r n r n r n Character Name r nBro r n r n Nation r nBastok r n r n r n Job level Sub Job level r n somethin Dark Knight r n r n r n NPC or Monster or item Name r n r n r n r n Zone name r n r n r n r n Coordinates use where r n r n r n r n ffxiah com link for items issues only r n r n r n r n Multi boxing multiple clients on same connection r n r n r n r n Steps To Reproduce any other info r nThe JA Consume Mana isnt in the server r n r nConsume Mana r nJob Ability Information r nJob tDark Knight r nType t Level r nLevel Obtained t r nDescription t Converts all MP into damage for the next attack r nDuration t or next attack r nRecast t r nCumulative Enmity t t Volatile Enmity t r nCommand t ja Consume Mana me r n r n r n,0.7610749,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n r nN A r n r n FFXI Client Version r n use ver to see your version r n r nN A r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION r n r nN A r n r n Character Name r n r nN A r n r n Nation r n r nN A r n r n Job level Sub Job level r n r nN A r n r n NPC or Monster or item Name r n r nTamaxchi http legiondark com db items tamaxchi r n r n Zone name r n r nabyssea attohwa previously r n r n Coordinates use where r n r nN A r n r n ffxiah com link for items issues only r n r nhttp www ffxiah com item r n r n Multi boxing multiple clients on same connection r n r nN A r n r n Steps To Reproduce any other info r n r nReferencing a closed ticket for color https github com LegionDark Issues issues Last note Nov was this item was going to be put back in the drop table in a different location at a future date It doesn t appear to be anywhere in the drop tables currently are there any plans to re implement this drop r n ,0.7093121,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time hrs r n r n r n r n FFXI Client Version r n use ver to see your version r n r n r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION Yes r n r n r n r n Character Name Mike r n r n r n r n Nation Bastok r n r n r n r n Job level Sub Job level SMN RDM r n r n r n r n NPC or Monster or item Name Waking Dreams Quest r n r n r n r n Zone name Shrouded Maw r n r n r n r n Coordinates use where X Y Z r n r n r n r n ffxiah com link for items issues only N A r n r n r n r n Multi boxing multiple clients on same connection Yes r n r n r n r n Steps To Reproduce any other info Received the KI Vial of Dream Incense to enter the Diablos Prime battle Went to the Shrouded Maw and attempted to enter at which time only two previous fights were available in the list Darkness Named and Test your Mite the fight for Diablos was not available in the list Waking Dreams Went back to the quest giver to check if I missed something but the quest giver gave me another quest Went back to the Maw and attempted to get into the fight but the same list came up NOTE I have the KI on one of my alts also and they were not able to enter either r n r n r n r n ,0.7162386,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n est r n r n FFXI Client Version r n use ver to see your version r n r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION r n yes r n r n Character Name r nSalazer r n r n Nation r nBastok r n r n Job level Sub Job level r nPld war r n r n NPC or Monster or item Name r nN A r n r n Zone name r nX Y Z r n r n Coordinates use where r nbastok mine r n r n ffxiah com link for items issues only r nN A r n r n Multi boxing multiple clients on same connection r nyes r n r n Steps To Reproduce any other info r ni was deleteing a toon from another account as i was deleting r nthe toon i wanted to delete was on screen after delete was fin all toons disconnected when i tried to log them back in Salazer s info was gone r n ,0.73667365,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time PM EST r n r n r n r n FFXI Client Version r n use ver to see your version r n r n r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION No r n r n r n r n Character Name Aetos r n r n r n r n Nation Bastok r n r n r n r n Job level Sub Job level BLM r n r n r n r n NPC or Monster or item Name r n r n r n r n Zone name Mordion Gaol r n r n r n r n Coordinates use where X Y Z r n r n r n r n ffxiah com link for items issues only r n r n r n r n Multi boxing multiple clients on same connection No r n r n r n r n Steps To Reproduce any other info I believe it s when I started or attempted to use an addon debuff I was unaware this one was against the rules and certainly will delete it I thought everything under Ashita addons were pre approved r n r n r n r n ,0.7252211,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n r n PM EST r n r n FFXI Client Version r n use ver to see your version r n r n r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION r n r n r n r n Character Name r n r n r n r n Nation r n r n r n r n Job level Sub Job level r n r n r n r n NPC or Monster or item Name r n r n r n r n Zone name r n r n r n r n Coordinates use where r n r n r n r n ffxiah com link for items issues only r n r n r n r n Multi boxing multiple clients on same connection r n r n r n r n Steps To Reproduce any other info r nLog was full of this error r n r n Jan Error luautils onMobFight scripts zones Behemoths Dom r n lua attempt to perform arithmetic on global BattleTime a nil value r n r n Once Pil Despawned lag cleared up ,0.74524003,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT THE SYMBOL IN THE TEMPLATE AS THIS WILL TRIGGER UNWANTED NOTIFICATIONS IF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nPlace your answers on the blank lines following the question r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n CST r n r n r n FFXI Client Version r n use ver to see your version r n r n r n r n Server s Expected Client Version matches r n use ecv to see expected version r n THIS IS A YES OR NO QUESTION r nyes r n r n r n Character Name r nNevion r n r n r n Nation r nSandy r n r n r n Job level Sub Job level r nTHF DNC r n r n r n NPC or Monster or item Name r nCarabosse r n r n r n Zone name r nAby La Theine r n r n r n Coordinates use where r nX Y Z r n r n r n ffxiah com link for items issues only r n r n r n r n Multi boxing multiple clients on same connection r nyes r n r n r n Steps To Reproduce any other info r n r nwhen fighting carabosse Lethe Arrows cause bind occasionally bind cannot be undone without logging character out and back in It is possible that the knockback is pushing character into mountain causing the bind This happened on fights Not very consistent but very annoying r n r n ,0.73575056,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time am am r n r n r n FFXI Client Version use ver r n r n r n Server s Expected Client Version matches yes no use ecv r n r n r n Character Name Devilsrose r n r n r n Nation Windurst r n r n r n Job level Sub Job level Red Mage Black Mage r n r n r n NPC or Monster or item Name Cavernous Maw Rolanberry Fields present r n r n r n Zone name Rolanberry Fields r n r n r n Coordinates use where x y z r n r n r n ffxiah com link for items issues only r n r n r n Multi boxing multiple clients on same connection no r n r n r n Steps To Reproduce any other info I just flagged Dancer unlock quest on blm changed to red mage for sneak invis everytime i go through maw and start cutscene there is no Cait Sith visible at then I get booted FFXIbootmod stops working I realize I have a further version than current but i just joined and got the newest by default and don t know how to find older version r n r n ,0.72530943,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n r n r n FFXI Client Version use ver r n r n r n Server s Expected Client Version matches yes no use ecv r n r n r n Character Name r nBro r n r n Nation r nBastok r n r n Job level Sub Job level r n r n r n NPC or Monster or item Name r n r n r n Zone name r n r n r n Coordinates use where r n r n r n ffxiah com link for items issues only r n r n r n Multi boxing multiple clients on same connection r n r n r n Steps To Reproduce any other info r nJust wondering if is possible to make her a vendor that sells Jug pets not a huge issue but atm its difficult to get jug pets Thanks again r n ,0.7447056,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time PM PST r n r n r n FFXI Client Version use ver r n r n r n Server s Expected Client Version matches yes no use ecv yes r n r n r n Character Name Jaxx r n r n r n Nation Bastok r n r n r n Job level Sub Job level WAR RDM r n r n r n NPC or Monster or item Name N A r n r n r n Zone name Chamber of Oracles r n r n r n Coordinates use where X Y Z r n r n r n ffxiah com link for items issues only N A r n r n r n Multi boxing multiple clients on same connection Yes full PT r n r n r n Steps To Reproduce any other info All other characters received credit for ZM win and were teleported to next step of the mission Jaxx was KOd during win and was locked out from Raise or HP Due to being stuck and asking if a GM was online without success I force quit the instance and upon relog in was able to raise I then Nexus caped to leader and tried to proceed with the mission but appears did not get credit for the win r n r n ,0.72857213,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time th Dec r n r n r n FFXI Client Version use ver r n r n r n Server s Expected Client Version matches yes no use ecv r n r n r n Character Name Fastfingerjoe r n r n r n Nation Windurst r n r n r n Job level Sub Job level Ninja Dancer r n r n r n NPC or Monster or item Name Brass Borer Anantaboga Nosferatu Progenerator r n r n r n Zone name Mount Zhayolm Aydeewa Subterane Promyvion Dem r n r n r n Coordinates use where r n r n r n ffxiah com link for items issues only r n r n r n Multi boxing multiple clients on same connection no r n r n r n Steps To Reproduce any other info r nLimit Points get generated and are noted in chat are added to my total amount but are reset after a couple of seconds Limit breaker has been obtained before and merit points have already been spent before r nAs you can see on the attached screens chat says i get limit points but status only shows lp and no merits sorry took screens in different zones as i didnt know that exp clock gets removed from screens r n fastfingerjoe https user images githubusercontent com dfd c ed a e b e dcda png r n fastfingerjoe https user images githubusercontent com dff eaf ed a e bfbca png r n r n r n r n ,0.71462786,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time pm r n r n r n FFXI Client Version use ver r n r n r n Server s Expected Client Version matches yes no use ecv yes r n r n r n Character Name Emel r n r n r n Nation Bastok r n r n r n Job level Sub Job level blu rdm r n r n r n NPC or Monster or item Name mog near legion book r n r n r n Zone name Rolanberry Fields r n r n r n Coordinates use where J r n r n r n ffxiah com link for items issues only https www bg wiki com bg Shned Tights B r n r n r n Multi boxing multiple clients on same connection yes r n r n r n Steps To Reproduce any other info traded Tanzanite Jewels it said it would take k legion points i got ilv legs not ilv i have over k points r n r n r n r n ,0.7913873,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time hrs r n r n r n FFXI Client Version use ver r n r n r n Server s Expected Client Version matches yes no use ecv yes r n r n r n Character Name Geppetto r n r n r n Nation Windurst r n r n r n Job level Sub Job level THF DNC r n r n r n NPC or Monster or item Name Saintly Invitation Windurst BCNM fight r n r n r n Zone name Balga s Dais r n r n r n Coordinates use where X Y Z r n r n r n ffxiah com link for items issues only N A r n r n r n Multi boxing multiple clients on same connection Not at the time of event r n r n r n Steps To Reproduce any other info Accepted the Mission and completed all prerequisites as per Wiki Went to the BCNM to complete the fight part of the the mission clicked on the BC and the only fight that came up was Divine Punishers and not Saintly Invitation Went back through all the prereq s to see if I missed anything with negative results Went back to Balga s Dais and clicked on the BC again with same results r n r n,0.7093121,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n Heepster r nDate Time r n december r n r nFFXI Client Version use ver r n r n r nServer s Expected Client Version matches yes no use ecv r n r n r nCharacter Name r nNimueh r n r nNation r nBastok r n r nJob level Sub Job level r nTHF all other after the transfer r n r nNPC or Monster or item Name r nNA r n r nZone name r nNA r n r nCoordinates use where r nNA r n r nffxiah com link for items issues only r nNA r n r nMulti boxing multiple clients on same connection r nNA r n r nSteps To Reproduce any other info r n r nYesterday a gm transferred all my crafting skill but after few minutes i crashed and i lost some one r n r n My Skill https image ibb co ktNrvG img png r nThank you ,0.794439,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time PM CST r n r n r n FFXI Client Version use ver ver r n r n r n Server s Expected Client Version matches yes no use ecv Expected Client Version R r n r n r n Character Name Hismena r n r n r n Nation San d Oria r n r n r n Job level Sub Job level DNC THF r n r n r n NPC or Monster or item Name Anniversary Mog r n r n r n Zone name Southern San d Oria r n r n r n Coordinates use where X Y Z r n r n r n ffxiah com link for items issues only http www ffxiah com item onago yukata r n r n r n Multi boxing multiple clients on same connection Nope r n r n r n Steps To Reproduce any other info Should ve received male version did not r n r n ,0.7444946,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time AM CST r n r n r n FFXI Client Version use ver ver r n r n r n Server s Expected Client Version matches yes no use ecv Expected Client Version R r n r n r n Character Name Hismena r n r n r n Nation San d Oria r n r n r n Job level Sub Job level DNC THF r n r n r n NPC or Monster or item Name r n r n r n Zone name r n r n r n Coordinates use where X Y Z r n r n r n ffxiah com link for items issues only r n r n r n Multi boxing multiple clients on same connection No r n r n r n Steps To Reproduce any other info Chocobo Jig I Chocobo Mazurka correctly apply movement speed buffs but Chocobo Jig II does not r nMazurka works https cdn discordapp com attachments unknown png r nJig works https cdn discordapp com attachments unknown png r nBut not Jig https cdn discordapp com attachments unknown png r n ,0.7504436,1,1,0,0
 r nDO NOT REMOVE OR CHANGE THE PRE FORMATTED TEXT TO PUT IN TEMPLATE r nGITHUB SEES MENTIONS NOT GMCOMMANDS r nIF YOU STUPIDLY IGNORE THIS WARNING I WILL CLOSE YOUR ISSUE eleventytwo r n r nIssues will also be closed without being looked into if r nthe following information is missing unless its not applicable r n r n r n Date Time r n am PST r n r n FFXI Client Version use ver r n r n r n Server s Expected Client Version matches yes no use ecv r nyes r n r n Character Name r nAsurus r n r n Nation r nBastok r n r n Job level Sub Job level r nPLD WAR r n r n NPC or Monster or item Name r nOuryu Cop r n r n Zone name r nMonarch Linn r n r n Coordinates use where r nX Y Z r n r n ffxiah com link for items issues only r n r n r n Multi boxing multiple clients on same connection r nyes r n r n Steps To Reproduce any other info r nEntered into BC dualbox CoP received level sync on both characters then my main unsync d still had the battlefield icon but I was a lvl in the BC r n asurus https user images githubusercontent com db dc e ca e d aebcce png r n asurus https user images githubusercontent com fc dc e e b cc png r n r n ,0.74485976,1,1,0,0
